,Name,New_name
0,*Andr,Ar
1,*Ap2a,Tfap2a
2,*Ap2b,Tfap2a
3,*Ap2c,Tfap2c
4,*Ari5b,Mrf2
5,*Atf6a,Atf6
6,*Bc11a,Bcl11a
7,*Bha15,Bhlha15
8,*Bhe40,Bhlhe40
9,*Brac,T
10,*Coe1,Ebf1
11,*Cot1,Nr2f1
12,*Cot2,Nr2f2
13,*Dmrtb,Dmrtb1
15,*Duxa,Duoxa2
17,*Gcr,Nr3c1
19,*Hxa1,Hoxa1
20,*Hxa10,Hoxa10
21,*Hxa13,Hoxa13
22,*Hxa9,Hoxa9
23,*Hxb13,Hoxb13
24,*Hxb4,Hoxb4
25,*Hxb7,Hoxb7
26,*Hxb8,Hoxb8
27,*Hxc9,Hoxc9
29,*Myba,Mybl1
30,*Ndf1,Neurod1
31,*Ndf2,Neurod2
32,*Nf2l1,Nfe2l1
33,*Nf2l2,Nfe2l2
34,*Nfac1,Nfatc1
35,*Nfac2,Nfatc2
36,*Nfac3,Nfatc3
37,*Nfac4,Nfatc4
38,*Nkx21,Nkx2-1
39,*Nkx22,Nkx2-2
40,*Nkx25,Nkx2-5
41,*Nkx28,Nkx2-8
42,*Nkx31,Nkx3-1
43,*Nkx32,Nkx3-2
44,*Nkx61,Nkx6-1
46,*Pebb,Cbfb
47,*Pknx1,Pknox1
48,*Po2f1,Pou2f1
49,*Po2f2,Pou2f2
50,*Po3f1,Pou3f1
51,*Po3f2,Pou3f2
52,*Po5f1,Pou5f1
55,*Prd14,Prdm14
56,*Prd16,Prdm16
57,*Prgr,Pgr
61,*Rorg,Rorc
63,*Smca1,Smarca1
64,*Smca5,Smarca5
65,*Srbp1,Srebf1
66,*Srbp2,Srebf2
67,*Sta5a,Stat5a
68,*Sta5b,Stat5b
69,*Suh,Ctcf
70,*Tf2l1,Tfcp2l1
71,*Tf65,Rela
72,*Tf7l1,Tcf7l1
73,*Tf7l2,Tcf7l2
74,*Tfe2,Tcf3
75,*Tha11,Thap11
76,*Twst1,Twist1
77,*Tyy1,Yy1
82,*Zbt14,Zbtb14
83,*Zbt17,Zbtb17
84,*Zbt18,Zbtb18
85,*Zbt48,Zbtb48
86,*Zbt7a,Zbtb7a
87,*Zksc1,Zkscan1
92,*Zn143,Znf143
94,*Zn250,Znf250
96,*Zn260,Znf260
100,*Zn281,Znf281
103,*Zn322,Znf322
104,*Zn329,Znf329
106,*Zn335,Znf335
109,*Zn382,Znf382
111,*Zn394,Znf394
114,*Zn436,Znf436
